"","total_cup_points","species","owner","country_of_origin","farm_name","lot_number","mill","ico_number","company","altitude","region","producer","number_of_bags","bag_weight","in_country_partner","harvest_year","grading_date","owner_1","variety","processing_method","aroma","flavor","aftertaste","acidity","body","balance","uniformity","clean_cup","sweetness","cupper_points","moisture","category_one_defects","quakers","color","category_two_defects","expiration","certification_body","certification_address","certification_contact","unit_of_measurement","altitude_low_meters","altitude_high_meters","altitude_mean_meters"
"1",90.58,"Arabica","metad plc","Ethiopia","metad plc",NA,"metad plc","2014/2015","metad agricultural developmet plc","1950-2200","guji-hambela","METAD PLC",300,"60 kg","METAD Agricultural Development plc","2014","April 4th, 2015","metad plc",NA,"Washed / Wet",8.67,8.83,8.67,8.75,8.5,8.42,10,10,10,8.75,0.12,0,0,"Green",0,"April 3rd, 2016","METAD Agricultural Development plc","309fcf77415a3661ae83e027f7e5f05dad786e44","19fef5a731de2db57d16da10287413f5f99bc2dd","m",1950,2200,2075
"2",89.92,"Arabica","metad plc","Ethiopia","metad plc",NA,"metad plc","2014/2015","metad agricultural developmet plc","1950-2200","guji-hambela","METAD PLC",300,"60 kg","METAD Agricultural Development plc","2014","April 4th, 2015","metad plc","Other","Washed / Wet",8.75,8.67,8.5,8.58,8.42,8.42,10,10,10,8.58,0.12,0,0,"Green",1,"April 3rd, 2016","METAD Agricultural Development plc","309fcf77415a3661ae83e027f7e5f05dad786e44","19fef5a731de2db57d16da10287413f5f99bc2dd","m",1950,2200,2075
"3",89.75,"Arabica","grounds for health admin","Guatemala","san marcos barrancas ""san cristobal cuch",NA,NA,NA,NA,"1600 - 1800 m",NA,NA,5,"1","Specialty Coffee Association",NA,"May 31st, 2010","Grounds for Health Admin","Bourbon",NA,8.42,8.5,8.42,8.42,8.33,8.42,10,10,10,9.25,0,0,0,NA,0,"May 31st, 2011","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",1600,1800,1700
"4",89,"Arabica","yidnekachew dabessa","Ethiopia","yidnekachew dabessa coffee plantation",NA,"wolensu",NA,"yidnekachew debessa coffee plantation","1800-2200","oromia","Yidnekachew Dabessa Coffee Plantation",320,"60 kg","METAD Agricultural Development plc","2014","March 26th, 2015","Yidnekachew Dabessa",NA,"Natural / Dry",8.17,8.58,8.42,8.42,8.5,8.25,10,10,10,8.67,0.11,0,0,"Green",2,"March 25th, 2016","METAD Agricultural Development plc","309fcf77415a3661ae83e027f7e5f05dad786e44","19fef5a731de2db57d16da10287413f5f99bc2dd","m",1800,2200,2000
"5",88.83,"Arabica","metad plc","Ethiopia","metad plc",NA,"metad plc","2014/2015","metad agricultural developmet plc","1950-2200","guji-hambela","METAD PLC",300,"60 kg","METAD Agricultural Development plc","2014","April 4th, 2015","metad plc","Other","Washed / Wet",8.25,8.5,8.25,8.5,8.42,8.33,10,10,10,8.58,0.12,0,0,"Green",2,"April 3rd, 2016","METAD Agricultural Development plc","309fcf77415a3661ae83e027f7e5f05dad786e44","19fef5a731de2db57d16da10287413f5f99bc2dd","m",1950,2200,2075
"6",88.83,"Arabica","ji-ae ahn","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,100,"30 kg","Specialty Coffee Institute of Asia","2013","September 3rd, 2013","Ji-Ae Ahn",NA,"Natural / Dry",8.58,8.42,8.42,8.5,8.25,8.33,10,10,10,8.33,0.11,0,0,"Bluish-Green",1,"September 3rd, 2014","Specialty Coffee Institute of Asia","726e4891cf2c9a4848768bd34b668124d12c4224","b70da261fcc84831e3e9620c30a8701540abc200","m",NA,NA,NA
"7",88.75,"Arabica","hugo valdivia","Peru",NA,NA,"hvc",NA,"richmond investment-coffee department",NA,NA,"HVC",100,"69 kg","Specialty Coffee Institute of Asia","2012","September 17th, 2012","Hugo Valdivia","Other","Washed / Wet",8.42,8.5,8.33,8.5,8.25,8.25,10,10,10,8.5,0.11,0,0,"Bluish-Green",0,"September 17th, 2013","Specialty Coffee Institute of Asia","726e4891cf2c9a4848768bd34b668124d12c4224","b70da261fcc84831e3e9620c30a8701540abc200","m",NA,NA,NA
"8",88.67,"Arabica","ethiopia commodity exchange","Ethiopia","aolme",NA,"c.p.w.e","010/0338",NA,"1570-1700","oromia","Bazen Agricultural & Industrial Dev't Plc",300,"60 kg","Ethiopia Commodity Exchange","March 2010","September 2nd, 2010","Ethiopia Commodity Exchange",NA,NA,8.25,8.33,8.5,8.42,8.33,8.5,10,10,9.33,9,0.03,0,0,NA,0,"September 2nd, 2011","Ethiopia Commodity Exchange","a176532400aebdc345cf3d870f84ed3ecab6249e","61bbaf6a9f341e5782b8e7bd3ebf76aac89fe24b","m",1570,1700,1635
"9",88.42,"Arabica","ethiopia commodity exchange","Ethiopia","aolme",NA,"c.p.w.e","010/0338",NA,"1570-1700","oromiya","Bazen Agricultural & Industrial Dev't Plc",300,"60 kg","Ethiopia Commodity Exchange","March 2010","September 2nd, 2010","Ethiopia Commodity Exchange",NA,NA,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10,9.33,8.67,0.03,0,0,NA,0,"September 2nd, 2011","Ethiopia Commodity Exchange","a176532400aebdc345cf3d870f84ed3ecab6249e","61bbaf6a9f341e5782b8e7bd3ebf76aac89fe24b","m",1570,1700,1635
"10",88.25,"Arabica","diamond enterprise plc","Ethiopia","tulla coffee farm",NA,"tulla coffee farm","2014/15","diamond enterprise plc","1795-1850","snnp/kaffa zone,gimbowereda","Diamond Enterprise Plc",50,"60 kg","METAD Agricultural Development plc","2014","March 30th, 2015","Diamond Enterprise Plc","Other","Natural / Dry",8.08,8.58,8.5,8.5,7.67,8.42,10,10,10,8.5,0.1,0,0,"Green",4,"March 29th, 2016","METAD Agricultural Development plc","309fcf77415a3661ae83e027f7e5f05dad786e44","19fef5a731de2db57d16da10287413f5f99bc2dd","m",1795,1850,1822.5
